Site,variable,CV,DensBiom,LengthArea,CommunitySt,MultipassFirstPass
21013,CDensArea,0.130104452,Density,Area,Community,Multipass
Biscuit,CDensArea,0.263374804,Density,Area,Community,Multipass
Buck,CDensArea,0.746224881,Density,Area,Community,Multipass
DeerShanty,CDensArea,0.450464858,Density,Area,Community,Multipass
Durgin,CDensArea,0.249387908,Density,Area,Community,Multipass
Fly,CDensArea,0.012279764,Density,Area,Community,Multipass
Moss,CDensArea,0.556620572,Density,Area,Community,Multipass
NewHill,CDensArea,0.193505662,Density,Area,Community,Multipass
Oasis,CDensArea,0.17329583,Density,Area,Community,Multipass
Seventh,CDensArea,0.339245871,Density,Area,Community,Multipass
Slide,CDensArea,0.497393784,Density,Area,Community,Multipass
Tisons,CDensArea,0.628793857,Density,Area,Community,Multipass
Winnisook,CDensArea,0.790954702,Density,Area,Community,Multipass
21013,CDensLength,0.128638859,Density,Length,Community,Multipass
Biscuit,CDensLength,0.258925299,Density,Length,Community,Multipass
Buck,CDensLength,0.63075807,Density,Length,Community,Multipass
DeerShanty,CDensLength,0.410224883,Density,Length,Community,Multipass
Durgin,CDensLength,0.159908382,Density,Length,Community,Multipass
Fly,CDensLength,0.09382668,Density,Length,Community,Multipass
Moss,CDensLength,0.410647128,Density,Length,Community,Multipass
NewHill,CDensLength,0.183029915,Density,Length,Community,Multipass
Oasis,CDensLength,0.160789746,Density,Length,Community,Multipass
Seventh,CDensLength,0.358321084,Density,Length,Community,Multipass
Slide,CDensLength,0.315282693,Density,Length,Community,Multipass
Tisons,CDensLength,0.641355187,Density,Length,Community,Multipass
Winnisook,CDensLength,0.668791683,Density,Length,Community,Multipass
21013,CBiomArea,0.07675073,Biomass,Area,Community,Multipass
Biscuit,CBiomArea,0.25274964,Biomass,Area,Community,Multipass
Buck,CBiomArea,0.626890474,Biomass,Area,Community,Multipass
DeerShanty,CBiomArea,0.25708679,Biomass,Area,Community,Multipass
Durgin,CBiomArea,0.173826645,Biomass,Area,Community,Multipass
Fly,CBiomArea,0.136977086,Biomass,Area,Community,Multipass
Moss,CBiomArea,0.123082152,Biomass,Area,Community,Multipass
NewHill,CBiomArea,0.343959368,Biomass,Area,Community,Multipass
Oasis,CBiomArea,0.126391274,Biomass,Area,Community,Multipass
Seventh,CBiomArea,0.218971824,Biomass,Area,Community,Multipass
Slide,CBiomArea,0.559476399,Biomass,Area,Community,Multipass
Tisons,CBiomArea,0.512251807,Biomass,Area,Community,Multipass
Winnisook,CBiomArea,0.845607561,Biomass,Area,Community,Multipass
21013,CBiomLength,0.071979759,Biomass,Length,Community,Multipass
Biscuit,CBiomLength,0.19136292,Biomass,Length,Community,Multipass
Buck,CBiomLength,0.50579969,Biomass,Length,Community,Multipass
DeerShanty,CBiomLength,0.19054614,Biomass,Length,Community,Multipass
Durgin,CBiomLength,0.122393218,Biomass,Length,Community,Multipass
Fly,CBiomLength,0.198994805,Biomass,Length,Community,Multipass
Moss,CBiomLength,0.041583772,Biomass,Length,Community,Multipass
