Site,variable,CV,DensBiom,LengthArea,CommunitySt,MultipassFirstPass,Park
21013,CDensArea,0.130104452,Density,Area,Community,Multipass,ADK
Biscuit,CDensArea,0.263374804,Density,Area,Community,Multipass,Catskill
Buck,CDensArea,0.746224881,Density,Area,Community,Multipass,ADK
DeerShanty,CDensArea,0.450464858,Density,Area,Community,Multipass,Catskill
Durgin,CDensArea,0.249387908,Density,Area,Community,Multipass,ADK
Fly,CDensArea,0.012279764,Density,Area,Community,Multipass,ADK
Moss,CDensArea,0.556620572,Density,Area,Community,Multipass,ADK
NewHill,CDensArea,0.193505662,Density,Area,Community,Multipass,Catskill
Oasis,CDensArea,0.17329583,Density,Area,Community,Multipass,Catskill
Seventh,CDensArea,0.339245871,Density,Area,Community,Multipass,ADK
Slide,CDensArea,0.497393784,Density,Area,Community,Multipass,Catskill
Tisons,CDensArea,0.628793857,Density,Area,Community,Multipass,Catskill
Winnisook,CDensArea,0.790954702,Density,Area,Community,Multipass,Catskill
21013,CBiomArea,0.07675073,Biomass,Area,Community,Multipass,ADK
Biscuit,CBiomArea,0.25274964,Biomass,Area,Community,Multipass,Catskill
Buck,CBiomArea,0.626890474,Biomass,Area,Community,Multipass,ADK
DeerShanty,CBiomArea,0.25708679,Biomass,Area,Community,Multipass,Catskill
Durgin,CBiomArea,0.173826645,Biomass,Area,Community,Multipass,ADK
Fly,CBiomArea,0.136977086,Biomass,Area,Community,Multipass,ADK
Moss,CBiomArea,0.123082152,Biomass,Area,Community,Multipass,ADK
NewHill,CBiomArea,0.343959368,Biomass,Area,Community,Multipass,Catskill
Oasis,CBiomArea,0.126391274,Biomass,Area,Community,Multipass,Catskill
Seventh,CBiomArea,0.218971824,Biomass,Area,Community,Multipass,ADK
Slide,CBiomArea,0.559476399,Biomass,Area,Community,Multipass,Catskill
Tisons,CBiomArea,0.512251807,Biomass,Area,Community,Multipass,Catskill
Winnisook,CBiomArea,0.845607561,Biomass,Area,Community,Multipass,Catskill
21013,StDensArea,0.20984732,Density,Area,Brook trout,Multipass,ADK
Biscuit,StDensArea,0.409548847,Density,Area,Brook trout,Multipass,Catskill
Buck,StDensArea,0.693489422,Density,Area,Brook trout,Multipass,ADK
DeerShanty,StDensArea,0.435402856,Density,Area,Brook trout,Multipass,Catskill
Durgin,StDensArea,0.198627811,Density,Area,Brook trout,Multipass,ADK
Fly,StDensArea,0.353381718,Density,Area,Brook trout,Multipass,ADK
Moss,StDensArea,0.29319571,Density,Area,Brook trout,Multipass,ADK
NewHill,StDensArea,0.214848348,Density,Area,Brook trout,Multipass,Catskill
Oasis,StDensArea,0.270142954,Density,Area,Brook trout,Multipass,Catskill
Seventh,StDensArea,0.434118886,Density,Area,Brook trout,Multipass,ADK
Slide,StDensArea,0.694931328,Density,Area,Brook trout,Multipass,Catskill
Tisons,StDensArea,0.535997455,Density,Area,Brook trout,Multipass,Catskill
Winnisook,StDensArea,0.790954702,Density,Area,Brook trout,Multipass,Catskill
21013,StBiomArea,0.277225058,Biomass,Area,Brook trout,Multipass,ADK
Biscuit,StBiomArea,0.283634158,Biomass,Area,Brook trout,Multipass,Catskill
Buck,StBiomArea,0.618605359,Biomass,Area,Brook trout,Multipass,ADK
DeerShanty,StBiomArea,0.128108844,Biomass,Area,Brook trout,Multipass,Catskill
Durgin,StBiomArea,0.412796673,Biomass,Area,Brook trout,Multipass,ADK
Fly,StBiomArea,0.420467506,Biomass,Area,Brook trout,Multipass,ADK
Moss,StBiomArea,0.161135952,Biomass,Area,Brook trout,Multipass,ADK
NewHill,StBiomArea,0.124456126,Biomass,Area,Brook trout,Multipass,Catskill
Oasis,StBiomArea,0.095935707,Biomass,Area,Brook trout,Multipass,Catskill
Seventh,StBiomArea,0.399804031,Biomass,Area,Brook trout,Multipass,ADK
Slide,StBiomArea,0.682819123,Biomass,Area,Brook trout,Multipass,Catskill
Tisons,StBiomArea,0.479865336,Biomass,Area,Brook trout,Multipass,Catskill
Winnisook,StBiomArea,0.845607561,Biomass,Area,Brook trout,Multipass,Catskill
21013,CFPDensArea,0.116879063,Density,Area,Community,Firstpass,ADK
Biscuit,CFPDensArea,0.283193943,Density,Area,Community,Firstpass,Catskill
Buck,CFPDensArea,0.668639663,Density,Area,Community,Firstpass,ADK
DeerShanty,CFPDensArea,0.454098459,Density,Area,Community,Firstpass,Catskill
Durgin,CFPDensArea,0.194115395,Density,Area,Community,Firstpass,ADK
Fly,CFPDensArea,0.132324576,Density,Area,Community,Firstpass,ADK
Moss,CFPDensArea,0.424777864,Density,Area,Community,Firstpass,ADK
NewHill,CFPDensArea,0.370110487,Density,Area,Community,Firstpass,Catskill
Oasis,CFPDensArea,0.231905892,Density,Area,Community,Firstpass,Catskill
Seventh,CFPDensArea,0.42200804,Density,Area,Community,Firstpass,ADK
Slide,CFPDensArea,0.63819368,Density,Area,Community,Firstpass,Catskill
Tisons,CFPDensArea,0.574331984,Density,Area,Community,Firstpass,Catskill
Winnisook,CFPDensArea,0.636737159,Density,Area,Community,Firstpass,Catskill
21013,CFPBiomArea,0.362899071,Biomass,Area,Community,Firstpass,ADK
Biscuit,CFPBiomArea,0.318383221,Biomass,Area,Community,Firstpass,Catskill
Buck,CFPBiomArea,0.719741603,Biomass,Area,Community,Firstpass,ADK
DeerShanty,CFPBiomArea,0.449499808,Biomass,Area,Community,Firstpass,Catskill
Durgin,CFPBiomArea,0.245552268,Biomass,Area,Community,Firstpass,ADK
Fly,CFPBiomArea,0.144206758,Biomass,Area,Community,Firstpass,ADK
Moss,CFPBiomArea,0.024645571,Biomass,Area,Community,Firstpass,ADK
NewHill,CFPBiomArea,0.080953327,Biomass,Area,Community,Firstpass,Catskill
Oasis,CFPBiomArea,0.228040581,Biomass,Area,Community,Firstpass,Catskill
Seventh,CFPBiomArea,0.08050698,Biomass,Area,Community,Firstpass,ADK
Slide,CFPBiomArea,0.788529751,Biomass,Area,Community,Firstpass,Catskill
Tisons,CFPBiomArea,0.372301741,Biomass,Area,Community,Firstpass,Catskill
