SITE-Yr,Site,year,Community richness,Community density (No/0.1ha) by area,D-upper CI (add value) by area,D-lower CI (subtract value) by area,Community biomass (g/0.1ha) by area,B-upper CI (add value) by area,B-lower CI (subtract value) by area,ST Density (No/0.1 ha) by area,ST D-CI (add value for upper CI) by area,ST D-CI (subtract value for lower CI) by area,ST Biomass (g/0.1 ha) by area,ST B-CI (add value for upper CI) by area,ST B-CI (subtract value for lower CI) by area,First Pass All Species density (No/0.1ha) by area,Community density (No./100 m) by length,D-upper CI (add value) by length,D-lower CI (subtract value) by length,Community biomass (g/100 m) by length,B-upper CI (add value) by length,B-lower CI (subtract value) by length,brook trout Density (No/100m) by length,brook trout D-CI (add value for upper CI) by length,brook trout D-CI (subtract value for lower CI) by length,brook trout Biomass (g/100m) by length,brook trout B-CI (add value for upper CI) by length,brook trout B-CI (subtract value for lower CI) by length,First Pass All Species density (No/100m) by length
21013-14,21013,2014,2,596.92,21.71,10.85,2882.57,104.82,52.41,423.27,16.28,5.43,2383.33,91.17,30.39,423.27,161.76,5.88,2.94,781.18,28.41,14.2,114.71,4.41,1.47,645.88,24.71,8.24,114.71
21013-15,21013,2015,2,762.12,102.51,102.51,2666.53,358.66,358.66,566.02,71.31,66.85,2061.29,256.71,240.67,338.72,198.84,26.74,26.74,695.7,93.57,93.57,147.67,18.6,17.44,537.79,66.98,62.79,88.37
21013-16,21013,2016,2,747.04,55.34,55.34,2472.33,183.14,183.14,383.4,23.72,15.81,1339.53,83,55.34,411.07,207.69,15.38,15.38,687.36,50.92,50.92,106.59,6.59,4.4,372.42,23.08,15.38,114.29
Biscuit Brook-12,Biscuit,2012,3,807.23,112.45,112.45,5198.8,724.21,724.21,285.14,34.14,34.14,2495.58,300.4,300.4,331.33,402,56,56,2589,360.66,360.66,142,17,17,1242.8,149.6,149.6,165
Biscuit Brook-13,Biscuit,2013,3,917.64,116.95,116.95,4325.04,551.23,551.23,260.9,44.98,40.48,1855.07,319.37,287.44,380.1,434.04,55.32,55.32,2045.74,260.73,260.73,123.4,21.28,19.15,877.45,151.06,135.96,179.79
Biscuit Brook-14,Biscuit,2014,4,814.52,103.69,103.69,3625.68,461.57,461.57,91.67,6.01,3.01,1593.28,104.6,52.3,266,558.76,71.13,71.13,2487.22,316.64,316.64,62.89,4.12,2.06,1092.99,71.75,35.88,182.47
Biscuit Brook-15,Biscuit,2015,3,1003.96,52.75,52.75,3728.88,195.91,195.91,160,28.13,22.86,1373.36,241.93,196.57,429.01,652.57,34.29,34.29,2423.77,127.34,127.34,104,18.29,14.86,892.69,157.26,127.77,278.86
Biscuit Brook-16,Biscuit,2016,3,1485.06,156.78,156.78,6836.08,721.7,721.7,261.3,23.95,21.78,2935.5,268.27,243.88,585.75,766.29,80.9,80.9,3527.42,372.4,372.4,134.83,12.36,11.24,1514.72,138.43,125.84,302.25
Biscuit Brook-17,Biscuit,2017,3,852.06,94.9,94.9,4529.95,504.55,504.55,129.98,16.5,10.32,2399.8,305.34,190.84,344.54,464.04,51.69,51.69,2467.08,274.78,274.78,70.79,8.99,5.62,1306.97,166.29,103.93,187.64
Buck-14,Buck,2014,3,70.75,0,0,863.82,0,0,47.17,0,0,823.06,0,0,64.01,20.59,0,0,251.37,0,0,13.73,0,0,239.51,0,0,18.63
