SITE-Yr,Site,year,Community density (No/0.1ha) by area,D-upper CI (add value) by area,D-lower CI (subtract value) by area,Community biomass (g/0.1ha) by area,B-upper CI (add value) by area,B-lower CI (subtract value) by area,ST Density (No/0.1 ha) by area,ST D-CI (add value for upper CI) by area,ST D-CI (subtract value for lower CI) by area,ST Biomass (g/0.1 ha) by area,ST B-CI (add value for upper CI) by area,ST B-CI (subtract value for lower CI) by area,First Pass All Species density (No/0.1ha) by area,First Pass All Species Biomass (g/0.1ha) by area,ST First Pass Density by Area (No/0.1ha),ST First Pass Biomass by Area (g/0.1ha),Community density (No./100 m) by length,D-upper CI (add value) by length,D-lower CI (subtract value) by length,Community biomass (g/100 m) by length,B-upper CI (add value) by length,B-lower CI (subtract value) by length,brook trout Density (No/100m) by length,brook trout D-CI (add value for upper CI) by length,brook trout D-CI (subtract value for lower CI) by length,brook trout Biomass (g/100m) by length,brook trout B-CI (add value for upper CI) by length,brook trout B-CI (subtract value for lower CI) by length,First Pass All Species density (No/100m) by length,First Pass All Species Biomass (g/100 m) by length,ST First Pass Density by Length (No/100 m),ST First Pass Biomass by Length (g/100 m),All fish density first pass CPUE (No/h),All fish biomass first pass CPUE (g/h),ST density first pass CPUE (No/h),ST biomass first pass CPUE (g/h),Community richness
21013-14,21013,2014,596.92,21.71,10.85,2882.57,104.82,52.41,423.27,16.28,5.43,2383.33,91.17,30.39,423.27,2388.76,314.74,2066.42,161.76,5.88,2.94,781.18,28.41,14.2,114.71,4.41,1.47,645.88,24.71,8.24,114.71,647.35,85.29411765,560,263.4146341,1486.604128,195.8724203,1286.003752,2
21013-15,21013,2015,762.12,102.51,102.51,2666.53,358.66,358.66,566.02,71.31,66.85,2061.29,256.71,240.67,338.72,1164.13,276.32,939.95,198.84,26.74,26.74,695.7,93.57,93.57,147.67,18.6,17.44,537.79,66.98,62.79,88.37,303.72,72.09302326,245.2325581,250.7791017,861.888176,204.5829514,695.9120073,2
21013-16,21013,2016,747.04,55.34,55.34,2472.33,183.14,183.14,383.4,23.72,15.81,1339.53,83,55.34,411.07,1588.14,241.11,971.15,207.69,15.38,15.38,687.36,50.92,50.92,106.59,6.59,4.4,372.42,23.08,15.38,114.29,441.54,67.03296703,270,235.0282486,908.0225989,137.8531073,555.2542373,2
Biscuit Brook-12,Biscuit,2012,807.23,112.45,112.45,5198.8,724.21,724.21,285.14,34.14,34.14,2495.58,300.4,300.4,331.33,2634.84,146.59,1826.31,402,56,56,2589,360.66,360.66,142,17,17,1242.8,149.6,149.6,165,1312.15,73,909.5,358.4791792,2850.778515,158.5998793,1975.980688,3
Biscuit Brook-13,Biscuit,2013,917.64,116.95,116.95,4325.04,551.23,551.23,260.9,44.98,40.48,1855.07,319.37,287.44,380.1,1891.73,125.95,879.4,434.04,55.32,55.32,2045.74,260.73,260.73,123.4,21.28,19.15,877.45,151.06,135.96,179.79,894.79,59.57446809,415.9574468,350.6628242,1745.221902,116.1959654,811.29683,3
Biscuit Brook-14,Biscuit,2014,814.52,103.69,103.69,3625.68,461.57,461.57,91.67,6.01,3.01,1593.28,104.6,52.3,266,1504.86,54.1,930.39,558.76,71.13,71.13,2487.22,316.64,316.64,62.89,4.12,2.06,1092.99,71.75,35.88,182.47,1032.34,37.11340206,638.2474227,255.5956679,1446.016847,51.98555957,894.0072202,4
Biscuit Brook-15,Biscuit,2015,1003.96,52.75,52.75,3728.88,195.91,195.91,160,28.13,22.86,1373.36,241.93,196.57,429.01,1570.11,63.3,536.26,652.57,34.29,34.29,2423.77,127.34,127.34,104,18.29,14.86,892.69,157.26,127.77,278.86,1020.57,41.14285714,348.5714286,312.2644863,1142.836829,46.07180946,390.3306079,3
Biscuit Brook-16,Biscuit,2016,1485.06,156.78,156.78,6836.08,721.7,721.7,261.3,23.95,21.78,2935.5,268.27,243.88,585.75,3337.91,145.89,2068.42,766.29,80.9,80.9,3527.42,372.4,372.4,134.83,12.36,11.24,1514.72,138.43,125.84,302.25,1722.36,75.28089888,1067.303371,372.4615385,2122.476923,92.76923077,1315.246154,3
Biscuit Brook-17,Biscuit,2017,852.06,94.9,94.9,4529.95,504.55,504.55,129.98,16.5,10.32,2399.8,305.34,190.84,344.54,2304.89,74.27,1527.11,464.04,51.69,51.69,2467.08,274.78,274.78,70.79,8.99,5.62,1306.97,166.29,103.93,187.64,1255.28,40.4494382,831.6853933,311.341274,2082.817193,67.11548421,1379.968928,3
Buck-14,Buck,2014,70.75,0,0,863.82,0,0,47.17,0,0,823.06,0,0,64.01,783.3,43.8,746.92,20.59,0,0,251.37,0,0,13.73,0,0,239.51,0,0,18.63,227.94,12.74509804,217.3529412,53.94321767,660.0946372,36.90851735,629.4321767,3
Buck-15,Buck,2015,92.64,2.81,0,671.53,20.35,0,53.34,2.81,0,605.84,32,0,72.99,439.08,42.11,402.3,33.33,1.01,0,241.62,7.32,0,19.19,1.01,0,217.98,11.52,0,26.26,157.98,15.15151515,144.7474747,69.69471333,419.2405063,40.20848846,384.1250931,3
Buck-16,Buck,2016,265.5,10.76,3.59,2057.26,83.4,27.8,150.69,3.59,0,1881.82,44.85,0,197.33,1854.55,129.16,1754.45,71.15,2.88,0.96,551.35,22.35,7.45,40.38,0.96,0,504.33,12.02,0,52.88,497.02,34.61538462,470.1923077,106.9114471,1004.773218,69.97840173,950.5399568,4
DeerShanty-14,DeerShanty,2014,186.17,19.6,4.9,2895.85,304.83,76.21,186.17,19.6,4.9,2895.85,305.7,76.43,117.58,1529.49,117.58,1529.49,67.86,7.14,1.79,1055.54,111.11,27.78,67.86,7.14,1.79,1055.54,111.43,27.86,42.86,557.5,42.85714286,557.5,115.9731544,1508.61745,115.9731544,1508.61745,1
DeerShanty-15,DeerShanty,2015,688.5,58.71,53.37,2867.68,244.53,222.3,677.82,53.37,48.03,2804.17,218.83,196.94,400.29,1462.93,400.29,1462.93,208.06,17.74,16.13,866.61,73.9,67.18,204.84,16.13,14.52,847.42,66.13,59.52,120.97,442.1,120.9677419,442.0967742,232.1582115,848.460877,232.1582115,848.460877,2
DeerShanty-16,DeerShanty,2016,562.43,46.32,33.08,3473.83,286.08,204.34,529.35,46.32,26.47,3074.84,268.64,153.51,337.46,2211.34,330.84,2103.49,142.86,11.76,8.4,882.35,72.66,51.9,134.45,11.76,6.72,781.01,68.24,38.99,85.71,561.68,84.03361345,534.2857143,170.7906977,1119.181395,167.4418605,1064.595349,2
